Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
484990,Bart Sunshine,Macaronesia,4r1vxvYqm5b5L5FW1ndvsw,32,2021,classical,0.332,0.0435,6,-19.042,1,0.0595,0.889,0.942,0.115,0.0519,115.312,118040,3
1331524,Tyrone Wells,Happy as the Sun,5VA7nlzlAT7NOCLLb5uMIp,47,2010,acoustic,0.774,0.243,5,-13.227,1,0.0431,0.845,0.0,0.106,0.692,124.976,164640,4
192804,EXO,CALL ME BABY - Chinese Version,4srjKSCxS5qRXN4pJPtGej,27,2015,k-pop,0.698,0.901,1,-2.587,1,0.0501,0.267,0.0,0.35,0.827,99.998,211013,4
31630,Imari Tones,Give Us Your Miracles,4CkkIW63d8jGnOKgPKOCFQ,0,2012,heavy-metal,0.488,0.858,9,-5.033,1,0.0377,0.163,0.000125,0.0921,0.21,140.033,339769,4
563356,Mindeliq,Kefee,3u2oG4972XhEOlperXGRH3,51,2022,jazz,0.511,0.0983,0,-21.129,1,0.042,0.937,0.84,0.112,0.116,150.879,168649,4
54018,Dash Berlin,Man On The Skyfire,2ZjhbwqTIeXrdx3qKEvH1j,14,2012,trance,0.57,0.917,1,-4.628,0,0.336,0.135,0.000299,0.268,0.155,132.024,282120,4
592026,Shane E,Sadness,2G5sv5lbPsfooEK4dsapFd,11,2023,dancehall,0.699,0.656,10,-6.187,1,0.282,0.228,0.0,0.36,0.325,91.631,175392,4
1204063,Onur Ozman,Steadiness - Da Funk's Blue Bar Mix,3f5ghQHbl0ZZNNKFt9gZgJ,0,2008,deep-house,0.812,0.854,0,-7.24,1,0.051,8.67e-06,0.902,0.0574,0.771,125.989,438095,4
182161,Fernandinho,Luz do Mundo - Ao Vivo,5pO2RWQgO01bYdwmJVqpP6,44,2015,gospel,0.472,0.819,11,-3.896,1,0.0464,0.142,1.39e-06,0.977,0.277,124.918,235467,4
551579,Altero,All Of My Heart,6Pd98Ky8e8TFEOBIGXpabM,40,2022,french,0.615,0.468,2,-9.88,1,0.0485,0.16,3.37e-05,0.105,0.19,109.58,136738,4
428905,Jovonn,Turnin Me Out - Jovonn Dark Room Dub Mix,0MhPZtTfHIsEMB4tU6Y55E,6,2020,chicago-house,0.78,0.723,6,-7.772,0,0.0498,0.00911,0.374,0.0467,0.555,124.026,357000,4
487028,Bill Santiago,How to Fix the Bible,2p1Ym0LueeJOLwYcwSGfbZ,2,2021,comedy,0.644,0.343,10,-13.807,0,0.681,0.937,0.0,0.712,0.751,126.75,312507,4
272445,Kedr Livanskiy,ACDC (электричество),5kMmpD3sMTPdoNm32QCvRa,22,2017,electronic,0.553,0.852,7,-10.529,1,0.0504,0.211,0.532,0.357,0.304,131.004,293596,4
672895,Ronaldo Viola e João Carvalho,Prisioneiro,3fYVFYySYQoGxtjzvZjtM2,36,2000,sertanejo,0.534,0.582,9,-5.713,1,0.0283,0.172,1.78e-06,0.155,0.542,97.557,224867,4
881573,Heinz Rudolf Kunze,Kapitel 16 - Folge 1: Die Grube und das Pendel,4AQH8S83yLKhBwUSz4ZYus,9,2003,german,0.526,0.624,2,-11.536,1,0.431,0.24,3.89e-06,0.236,0.308,96.312,180010,4
1266592,Linda Wong,緣份,0VxG6uPNAWWwZmNPVA2XKw,29,2009,cantopop,0.694,0.585,9,-7.599,0,0.0268,0.459,0.0,0.45,0.23,94.921,222240,4
300008,Jhonsy de los Angeles,Aunque No Te Pueda Ver (Version Salsa),56kcE2xYhRl8aDGwCyLAkJ,16,2017,salsa,0.718,0.834,5,-4.743,1,0.0367,0.475,8.88e-06,0.0991,0.923,160.002,291749,4
